Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,3.436000,3.498000,3.436000,3.494000,3.494000,585000
2016-05-03,3.440000,3.502000,3.440000,3.490000,3.490000,2197500
2016-05-04,3.480000,3.490000,3.436000,3.460000,3.460000,568000
2016-05-05,3.460000,3.478000,3.460000,3.470000,3.470000,289000
2016-05-06,3.460000,3.500000,3.440000,3.500000,3.500000,474500
2016-05-09,3.488000,3.540000,3.488000,3.522000,3.522000,128000
2016-05-10,3.500000,3.520000,3.490000,3.516000,3.516000,159500
2016-05-11,3.464000,3.500000,3.464000,3.482000,3.482000,149000
2016-05-12,3.508000,3.560000,3.502000,3.560000,3.560000,92500
2016-05-13,3.546000,3.546000,3.502000,3.538000,3.538000,47000
2016-05-16,3.584000,3.612000,3.552000,3.608000,3.608000,230500
2016-05-17,3.656000,3.664000,3.622000,3.634000,3.634000,86500
2016-05-18,3.626000,3.686000,3.626000,3.670000,3.670000,100000
2016-05-19,3.722000,3.722000,3.670000,3.684000,3.684000,77500
2016-05-20,3.698000,3.700000,3.676000,3.700000,3.700000,67000
2016-05-23,3.688000,3.688000,3.646000,3.664000,3.664000,141000
2016-05-24,3.580000,3.632000,3.580000,3.632000,3.632000,167000
2016-05-25,3.636000,3.670000,3.632000,3.664000,3.664000,59500
2016-05-26,3.660000,3.660000,3.608000,3.634000,3.634000,30000
2016-05-27,3.562000,3.650000,3.562000,3.600000,3.600000,78500
2016-05-31,3.648000,3.690000,3.648000,3.668000,3.668000,449000
2016-06-01,3.638000,3.650000,3.604000,3.644000,3.644000,203000
2016-06-02,3.590000,3.618000,3.590000,3.612000,3.612000,129500
2016-06-03,3.620000,3.634000,3.602000,3.628000,3.628000,184500
2016-06-06,3.684000,3.700000,3.640000,3.692000,3.692000,439000
2016-06-07,3.746000,3.800000,3.746000,3.772000,3.772000,88500
2016-06-08,3.812000,3.872000,3.772000,3.870000,3.870000,524500
2016-06-09,3.752000,3.800000,3.752000,3.790000,3.790000,465500
2016-06-10,3.740000,3.742000,3.688000,3.700000,3.700000,160500
2016-06-13,3.620000,3.620000,3.600000,3.602000,3.602000,137000
2016-06-14,3.598000,3.598000,3.560000,3.564000,3.564000,103500
2016-06-15,3.560000,3.590000,3.550000,3.556000,3.556000,506500
2016-06-16,3.528000,3.534000,3.486000,3.534000,3.534000,340000
2016-06-17,3.500000,3.532000,3.500000,3.522000,3.522000,316000
2016-06-20,3.544000,3.600000,3.544000,3.590000,3.590000,120000
2016-06-21,3.576000,3.620000,3.576000,3.598000,3.598000,86000
2016-06-22,3.568000,3.568000,3.540000,3.540000,3.540000,254000
2016-06-23,3.570000,3.576000,3.550000,3.566000,3.566000,124500
2016-06-24,3.446000,3.464000,3.400000,3.452000,3.452000,256000
2016-06-27,3.390000,3.414000,3.354000,3.362000,3.362000,327500
2016-06-28,3.432000,3.432000,3.384000,3.426000,3.426000,148500
2016-06-29,3.562000,3.562000,3.544000,3.556000,3.556000,41500
2016-06-30,3.558000,3.560000,3.512000,3.556000,3.556000,157500
2016-07-01,3.540000,3.566000,3.540000,3.550000,3.550000,94000
2016-07-05,3.490000,3.538000,3.490000,3.500000,3.500000,131500
2016-07-06,3.542000,3.542000,3.490000,3.526000,3.526000,487000
2016-07-07,3.728000,3.762000,3.670000,3.762000,3.762000,4673500
2016-07-08,4.116000,4.170000,4.094000,4.146000,4.146000,3976500
2016-07-11,5.800000,6.050000,5.350000,5.540000,5.540000,48868500
2016-07-12,5.686000,5.740000,5.516000,5.518000,5.518000,35448000
2016-07-13,5.316000,5.410000,5.250000,5.306000,5.306000,13022500
2016-07-14,6.142000,6.142000,5.974000,6.110000,6.110000,31181500
2016-07-15,6.538000,6.680000,6.500000,6.676000,6.676000,36711500
2016-07-18,7.140000,7.650000,7.120000,7.474000,7.474000,67009000
2016-07-19,7.598000,7.618000,6.610000,7.170000,7.170000,58234000
2016-07-20,6.778000,6.780000,6.450000,6.764000,6.764000,34439000
2016-07-21,6.480000,6.630000,6.444000,6.484000,6.484000,13934000
2016-07-22,5.990000,6.000000,5.550000,5.800000,5.800000,40919000
2016-07-25,5.210000,5.478000,5.040000,5.130000,5.130000,45274000
2016-07-26,5.452000,5.508000,5.376000,5.508000,5.508000,16761000
2016-07-27,4.950000,5.276000,4.930000,5.248000,5.248000,18397500
2016-07-28,5.048000,5.078000,4.984000,5.002000,5.002000,11998500
2016-07-29,5.144000,5.222000,5.112000,5.156000,5.156000,7839000
2016-08-01,5.072000,5.100000,5.008000,5.100000,5.100000,7965500
2016-08-02,5.112000,5.134000,5.040000,5.104000,5.104000,2537500
2016-08-03,5.186000,5.276000,5.156000,5.276000,5.276000,2762500
2016-08-04,5.226000,5.280000,5.202000,5.270000,5.270000,2872000
2016-08-05,5.138000,5.164000,5.100000,5.164000,5.164000,2239500
2016-08-08,5.196000,5.220000,5.172000,5.206000,5.206000,1924000
2016-08-09,5.566000,5.598000,5.522000,5.584000,5.584000,4572500
2016-08-10,5.620000,5.678000,5.600000,5.654000,5.654000,3999500
2016-08-11,5.656000,5.684000,5.642000,5.666000,5.666000,2021000
2016-08-12,5.420000,5.500000,5.300000,5.486000,5.486000,2432000
2016-08-15,5.452000,5.468000,5.432000,5.436000,5.436000,2367500
2016-08-16,5.420000,5.420000,5.364000,5.400000,5.400000,2709000
2016-08-17,5.604000,5.616000,5.564000,5.602000,5.602000,1383500
2016-08-18,5.698000,5.734000,5.664000,5.716000,5.716000,1989000
2016-08-19,5.500000,5.568000,5.460000,5.566000,5.566000,1426000
2016-08-22,5.622000,5.680000,5.622000,5.658000,5.658000,1823000
2016-08-23,5.662000,5.662000,5.600000,5.602000,5.602000,1918000
2016-08-24,5.576000,5.576000,5.490000,5.508000,5.508000,1875500
2016-08-25,5.500000,5.508000,5.480000,5.492000,5.492000,903500
2016-08-26,5.390000,5.458000,5.356000,5.380000,5.380000,1709500
2016-08-29,5.412000,5.472000,5.412000,5.466000,5.466000,1275000
2016-08-30,5.408000,5.434000,5.400000,5.404000,5.404000,1282500
2016-08-31,5.440000,5.474000,5.432000,5.456000,5.456000,1021000
2016-09-01,5.612000,5.624000,5.570000,5.602000,5.602000,2305000
2016-09-02,5.746000,5.780000,5.704000,5.768000,5.768000,3049500
2016-09-06,5.638000,5.670000,5.580000,5.640000,5.640000,4780500
2016-09-07,6.042000,7.310000,6.000000,7.264000,7.264000,39547000
2016-09-08,6.826000,6.854000,6.620000,6.776000,6.776000,16179500
2016-09-09,6.668000,6.708000,6.560000,6.580000,6.580000,4369000
2016-09-12,6.528000,6.632000,6.498000,6.630000,6.630000,2610500
2016-09-13,6.250000,6.386000,6.218000,6.270000,6.270000,4939000
2016-09-14,6.244000,6.338000,6.232000,6.320000,6.320000,2493500
2016-09-15,6.538000,6.650000,6.504000,6.622000,6.622000,1970500
2016-09-16,6.594000,6.640000,6.526000,6.540000,6.540000,819500
2016-09-19,6.598000,6.610000,6.554000,6.574000,6.574000,973000
2016-09-20,6.670000,6.716000,6.664000,6.696000,6.696000,2386500
2016-09-21,6.620000,6.684000,6.620000,6.680000,6.680000,1644000
2016-09-22,6.720000,6.776000,6.694000,6.748000,6.748000,3192000
2016-09-23,6.706000,6.714000,6.686000,6.700000,6.700000,975000
2016-09-26,6.554000,6.604000,6.526000,6.596000,6.596000,1233000
2016-09-27,6.606000,6.700000,6.606000,6.682000,6.682000,1442500
2016-09-28,6.678000,6.748000,6.662000,6.748000,6.748000,1361500
2016-09-29,6.680000,6.754000,6.612000,6.642000,6.642000,903500
2016-09-30,6.598000,6.620000,6.578000,6.596000,6.596000,2754000
2016-10-03,6.546000,6.546000,6.486000,6.498000,6.498000,882500
2016-10-04,6.378000,6.466000,6.364000,6.378000,6.378000,1162000
2016-10-05,6.442000,6.516000,6.442000,6.508000,6.508000,535500
2016-10-06,6.370000,6.398000,6.326000,6.360000,6.360000,597000
2016-10-07,6.466000,6.524000,6.384000,6.436000,6.436000,579500
2016-10-10,6.518000,6.518000,6.432000,6.484000,6.484000,850500
2016-10-11,6.340000,6.340000,6.282000,6.334000,6.334000,1644000
2016-10-12,6.230000,6.276000,6.220000,6.242000,6.242000,1007500
2016-10-13,6.234000,6.276000,6.230000,6.244000,6.244000,2004500
2016-10-14,6.400000,6.446000,6.344000,6.404000,6.404000,2523000
2016-10-17,6.244000,6.246000,6.200000,6.246000,6.246000,1063500
2016-10-18,6.300000,6.338000,6.256000,6.326000,6.326000,1105000
2016-10-19,6.304000,6.320000,6.286000,6.318000,6.318000,1173000
2016-10-20,6.488000,6.566000,6.418000,6.474000,6.474000,5969000
2016-10-21,6.072000,6.140000,6.066000,6.094000,6.094000,3303500
2016-10-24,5.762000,5.824000,5.746000,5.818000,5.818000,3745500
2016-10-25,5.892000,5.936000,5.842000,5.916000,5.916000,1014000
2016-10-26,5.780000,5.780000,5.580000,5.606000,5.606000,3698000
2016-10-27,5.894000,5.952000,5.894000,5.930000,5.930000,2181000
2016-10-28,6.048000,6.084000,6.014000,6.034000,6.034000,2131000
2016-10-31,6.036000,6.050000,6.014000,6.018000,6.018000,1226500
2016-11-01,6.010000,6.060000,5.986000,6.020000,6.020000,1076000
2016-11-02,6.034000,6.134000,6.034000,6.050000,6.050000,580500
2016-11-03,6.088000,6.088000,6.062000,6.066000,6.066000,799000
2016-11-04,5.896000,5.950000,5.880000,5.886000,5.886000,938000
2016-11-07,5.894000,5.910000,5.876000,5.900000,5.900000,819000
2016-11-08,5.840000,5.868000,5.820000,5.846000,5.846000,898000
2016-11-09,5.632000,5.784000,5.628000,5.758000,5.758000,3819000
2016-11-10,5.750000,5.798000,5.720000,5.748000,5.748000,5855500
2016-11-11,5.702000,5.722000,5.634000,5.692000,5.692000,1431000
2016-11-14,5.716000,5.750000,5.660000,5.684000,5.684000,3513000
2016-11-15,5.708000,5.760000,5.680000,5.756000,5.756000,1175000
2016-11-16,5.782000,5.842000,5.782000,5.830000,5.830000,3346000
2016-11-17,5.988000,6.030000,5.944000,6.028000,6.028000,1640500
2016-11-18,6.050000,6.106000,6.040000,6.098000,6.098000,1307500
2016-11-21,6.200000,6.260000,6.200000,6.256000,6.256000,1303500
2016-11-22,6.246000,6.396000,6.246000,6.380000,6.380000,1158000
2016-11-23,6.308000,6.518000,6.280000,6.400000,6.400000,1699500
2016-11-25,6.206000,6.354000,6.150000,6.198000,6.198000,1947000
2016-11-28,6.246000,6.290000,6.210000,6.236000,6.236000,1104500
2016-11-29,6.202000,6.250000,6.200000,6.244000,6.244000,1883500
2016-11-30,6.168000,6.240000,6.104000,6.166000,6.166000,2476000
2016-12-01,6.078000,6.120000,6.046000,6.058000,6.058000,2198000
2016-12-02,5.938000,5.974000,5.904000,5.922000,5.922000,816500
2016-12-05,6.030000,6.030000,5.930000,5.986000,5.986000,768500
2016-12-06,6.042000,6.148000,6.042000,6.130000,6.130000,550500
2016-12-07,6.106000,6.200000,6.106000,6.198000,6.198000,965500
2016-12-08,6.184000,6.282000,6.180000,6.268000,6.268000,4451500
2016-12-09,6.410000,6.436000,6.312000,6.420000,6.420000,2950500
2016-12-12,6.394000,6.426000,6.366000,6.418000,6.418000,2967000
2016-12-13,6.230000,6.360000,6.150000,6.244000,6.244000,3555000
2016-12-14,6.110000,6.142000,6.056000,6.070000,6.070000,5130500
2016-12-15,5.912000,5.918000,5.870000,5.872000,5.872000,4630000
2016-12-16,5.630000,5.634000,5.344000,5.422000,5.422000,12804500
2016-12-19,5.250000,5.278000,5.170000,5.208000,5.208000,4299500
2016-12-20,5.254000,5.338000,5.220000,5.282000,5.282000,3880000
2016-12-21,5.230000,5.260000,5.072000,5.146000,5.146000,3681000
2016-12-22,4.988000,5.014000,4.888000,4.922000,4.922000,4360000
2016-12-23,4.992000,5.030000,4.930000,5.008000,5.008000,1431500
2016-12-27,5.170000,5.240000,5.168000,5.216000,5.216000,1382000
2016-12-28,5.200000,5.218000,5.146000,5.152000,5.152000,903500
2016-12-29,5.188000,5.220000,5.154000,5.188000,5.188000,826500
2016-12-30,5.200000,5.250000,5.180000,5.190000,5.190000,1056500
2017-01-03,5.196000,5.244000,5.190000,5.238000,5.238000,1069000
2017-01-04,5.216000,5.232000,5.186000,5.232000,5.232000,1181500
2017-01-05,5.236000,5.236000,5.154000,5.168000,5.168000,735500
2017-01-06,5.160000,5.200000,5.144000,5.200000,5.200000,1849000
2017-01-09,5.200000,5.216000,5.178000,5.216000,5.216000,1673000
2017-01-10,5.294000,5.456000,5.270000,5.400000,5.400000,3919000
2017-01-11,5.452000,5.496000,5.410000,5.494000,5.494000,2339500
2017-01-12,5.570000,5.578000,5.468000,5.520000,5.520000,2042000
2017-01-13,5.180000,5.234000,5.134000,5.170000,5.170000,8078500
2017-01-17,5.192000,5.230000,5.168000,5.224000,5.224000,1133000
2017-01-18,5.198000,5.198000,5.138000,5.144000,5.144000,797000
2017-01-19,5.170000,5.238000,5.138000,5.226000,5.226000,2612500
2017-01-20,5.168000,5.196000,5.140000,5.152000,5.152000,729000
2017-01-23,5.170000,5.208000,5.160000,5.194000,5.194000,705500
2017-01-24,5.202000,5.228000,5.130000,5.192000,5.192000,2416500
2017-01-25,5.194000,5.250000,5.190000,5.250000,5.250000,1099500
2017-01-26,5.250000,5.250000,5.156000,5.162000,5.162000,659000
2017-01-27,5.126000,5.168000,5.076000,5.078000,5.078000,846500
2017-01-30,5.082000,5.128000,5.066000,5.082000,5.082000,3603000
2017-01-31,5.060000,5.110000,4.824000,4.946000,4.946000,3772000
2017-02-01,4.958000,5.002000,4.956000,5.000000,5.000000,892000
2017-02-02,5.006000,5.032000,4.978000,5.018000,5.018000,574500
2017-02-03,5.282000,5.352000,5.250000,5.340000,5.340000,1522000
2017-02-06,5.294000,5.330000,5.258000,5.282000,5.282000,534000
2017-02-07,5.176000,5.200000,5.160000,5.174000,5.174000,560500
2017-02-08,5.166000,5.190000,5.160000,5.174000,5.174000,565500
2017-02-09,5.160000,5.218000,5.134000,5.208000,5.208000,466500
2017-02-10,5.210000,5.220000,5.200000,5.206000,5.206000,383000
2017-02-13,5.206000,5.234000,5.158000,5.162000,5.162000,3333500
2017-02-14,5.134000,5.160000,5.036000,5.104000,5.104000,2644000
2017-02-15,4.950000,4.982000,4.936000,4.954000,4.954000,1903500
2017-02-16,5.014000,5.076000,5.006000,5.074000,5.074000,1035000
2017-02-17,5.180000,5.180000,5.100000,5.134000,5.134000,896500
2017-02-21,5.136000,5.140000,5.064000,5.114000,5.114000,743000
2017-02-22,5.116000,5.146000,5.090000,5.136000,5.136000,709000
2017-02-23,5.150000,5.158000,5.114000,5.118000,5.118000,679500
2017-02-24,5.188000,5.240000,5.186000,5.238000,5.238000,841500
2017-02-27,5.218000,5.286000,5.218000,5.270000,5.270000,887000
2017-02-28,5.250000,5.270000,5.212000,5.222000,5.222000,713500
2017-03-01,5.200000,5.202000,5.122000,5.164000,5.164000,1165500
2017-03-02,5.018000,5.050000,5.000000,5.014000,5.014000,1892000
2017-03-03,5.190000,5.218000,5.180000,5.208000,5.208000,1687500
2017-03-06,5.318000,5.348000,5.296000,5.348000,5.348000,1530500
2017-03-07,5.386000,5.634000,5.360000,5.532000,5.532000,4019000
2017-03-08,5.470000,5.472000,5.410000,5.452000,5.452000,2115500
2017-03-09,5.366000,5.404000,5.358000,5.372000,5.372000,1926500
2017-03-10,5.400000,5.400000,5.354000,5.370000,5.370000,1182000
2017-03-13,5.476000,5.476000,5.420000,5.432000,5.432000,646500
2017-03-14,5.392000,5.420000,5.374000,5.400000,5.400000,643500
2017-03-15,5.404000,5.480000,5.404000,5.480000,5.480000,1897500
2017-03-16,5.528000,5.562000,5.528000,5.548000,5.548000,1494500
2017-03-17,5.670000,5.916000,5.660000,5.810000,5.810000,6107500
2017-03-20,5.812000,5.910000,5.798000,5.882000,5.882000,3153500
2017-03-21,5.848000,5.860000,5.808000,5.808000,5.808000,3548000
2017-03-22,6.088000,6.192000,6.086000,6.192000,6.192000,4046000
2017-03-23,6.074000,6.130000,6.016000,6.100000,6.100000,2934000
2017-03-24,6.054000,6.152000,6.014000,6.044000,6.044000,2031500
2017-03-27,6.068000,6.100000,6.034000,6.092000,6.092000,987500
2017-03-28,6.046000,6.048000,5.904000,5.952000,5.952000,1240000
2017-03-29,5.950000,6.000000,5.946000,5.974000,5.974000,628000
2017-03-30,5.884000,5.884000,5.800000,5.830000,5.830000,874000
2017-03-31,5.840000,5.854000,5.784000,5.804000,5.804000,922000
2017-04-03,6.018000,6.020000,5.964000,5.992000,5.992000,870000
2017-04-04,5.864000,5.952000,5.844000,5.860000,5.860000,1130500
2017-04-05,5.864000,5.898000,5.856000,5.860000,5.860000,658500
2017-04-06,5.962000,5.976000,5.930000,5.958000,5.958000,829000
2017-04-07,5.812000,5.862000,5.786000,5.832000,5.832000,1694000
2017-04-10,5.788000,5.806000,5.786000,5.804000,5.804000,769500
2017-04-11,5.808000,5.824000,5.792000,5.820000,5.820000,481500
2017-04-12,5.812000,5.850000,5.812000,5.828000,5.828000,381000
2017-04-13,5.780000,5.830000,5.776000,5.798000,5.798000,1089500
2017-04-17,6.104000,6.120000,6.064000,6.092000,6.092000,2121000
2017-04-18,6.106000,6.130000,6.106000,6.118000,6.118000,716500
2017-04-19,6.222000,6.272000,6.220000,6.270000,6.270000,2898000
2017-04-20,6.150000,6.212000,6.148000,6.182000,6.182000,4159000
2017-04-21,6.174000,6.194000,6.174000,6.184000,6.184000,1176500
2017-04-24,6.264000,6.274000,6.214000,6.220000,6.220000,1445000
2017-04-25,6.324000,6.330000,6.294000,6.330000,6.330000,3718000
2017-04-26,6.210000,6.230000,6.148000,6.210000,6.210000,1353000
2017-04-27,6.040000,6.056000,5.954000,6.000000,6.000000,4105000
2017-04-28,6.286000,6.338000,6.250000,6.336000,6.336000,3985000
2017-05-01,6.338000,6.340000,6.322000,6.330000,6.330000,988000
2017-05-02,6.318000,6.328000,6.300000,6.312000,6.312000,1667500
2017-05-03,6.310000,6.320000,6.300000,6.318000,6.318000,932500
2017-05-04,6.312000,6.336000,6.310000,6.334000,6.334000,992000
2017-05-05,6.334000,6.448000,6.330000,6.448000,6.448000,3617000
2017-05-08,6.390000,6.412000,6.382000,6.410000,6.410000,1401500
2017-05-09,6.330000,6.364000,6.304000,6.348000,6.348000,2249000
2017-05-10,6.478000,6.490000,6.444000,6.484000,6.484000,2571000
2017-05-11,6.474000,6.484000,6.448000,6.478000,6.478000,1467000
2017-05-12,6.488000,6.502000,6.464000,6.476000,6.476000,740000
2017-05-15,6.566000,6.580000,6.538000,6.562000,6.562000,1198000
2017-05-16,6.606000,6.628000,6.580000,6.606000,6.606000,2053000
2017-05-17,6.764000,6.780000,6.642000,6.688000,6.688000,4469000
2017-05-18,6.800000,6.814000,6.748000,6.808000,6.808000,3528500
2017-05-19,6.816000,6.838000,6.780000,6.830000,6.830000,1276500
